timestamp_ns,busv,current,power,hall_speed
1778181327503178724,12.1,8.73,1367.975,14.787499999999998
1778181327803713358,11.824,14.33,897.925,14.647499999999999
1778181328203964069,11.68,18.15,1101.825,14.647499999999999
1778181328604668472,11.628,18.8325,85.7,14.77
1778181329004866995,11.508,21.35,261.525,14.927499999999998
1778181329205040651,11.748,15.0475,798.1,14.927499999999998
1778181329505577230,11.688,16.165,797.2,15.015
1778181329906597517,11.6,17.965,794.45,15.067499999999999
1778181330207624958,11.552,19.35,786.05,15.067499999999999
1778181330608546539,11.548,19.1825,760.425,15.120000000000001
1778181330909560866,11.548,19.2825,682.225,15.1725
1778181331311009337,11.568,18.45,443.575,15.1725
1778181331611846220,11.56,18.1975,1353.675,15.33
1778181331811979630,11.556,18.2825,854.275,15.382499999999999
1778181332213122448,11.516,19.0,968.625,15.382499999999999
1778181332613505056,11.54,18.7475,1317.6,15.469999999999999
1778181332913798207,11.588,16.9175,744.175,15.557500000000001
1778181333314111976,12.264,1.815,632.625,15.557500000000001
1778181333714614751,12.284,1.85,292.2,15.575000000000001
1778181334014947736,12.296,1.78,891.7,15.364999999999998
1778181334215069665,12.304,1.85,1082.85,15.364999999999998
1778181334616275122,12.312,1.78,27.775,15.137500000000001
1778181335017518187,12.32,1.715,84.75,15.137500000000001
1778181335318528054,12.328,1.8325,258.625,14.875
1778181335518870618,12.328,1.8325,789.25,14.525000000000002
1778181335920187584,12.312,2.3975,770.175,14.525000000000002
1778181336321323026,12.304,2.615,711.975,14.209999999999999
1778181336722470113,12.156,6.015,534.375,14.0
1778181337424315841,11.368,24.215,187.75,13.895000000000001
1778181337724826701,12.28,1.8,572.95,14.262500000000001
1778181338025817142,12.292,1.78,110.1,14.105
1778181338427300458,12.312,1.78,335.975,14.105
1778181338828285970,12.32,1.715,1025.3,13.755
1778181339128770481,12.384,1.8,1490.55,13.755
1778181339329114337,12.328,1.68,1271.975,13.335
1778181339529788644,12.336,1.8325,604.95,13.335
1778181339930070333,12.344,1.73,207.75,12.792499999999999
1778181340331070523,12.348,1.73,634.0,12.792499999999999
1778181340731598204,12.352,1.665,296.4,12.2675
1778181341132235021,12.328,2.4175,904.525,12.2675
1778181341533469601,12.28,3.3475,1121.975,11.8825
1778181341733920579,12.292,3.8175,147.175,11.8825
1778181342034643176,11.184,29.4175,449.125,11.4625
1778181342435460171,11.096,30.3675,1370.6,11.4625
1778181342835914996,11.04,30.75,905.925,11.655000000000001
1778181343237034850,10.992,31.4175,1126.25,11.655000000000001
1778181343637848438,10.572,41.5975,160.225,12.215
1778181343938370459,10.672,38.3475,488.95,12.705
1778181344138491246,10.632,39.865,1492.15,12.705
1778181344539362834,10.572,41.6325,1276.875,13.3525
1778181344940041779,10.568,41.78,619.9,13.3525
1778181345340756823,10.548,41.0675,253.375,14.0
1778181345741862631,10.56,40.8,773.225,14.5775
1778181346042608042,10.508,42.4825,721.275,15.155000000000001
1778181346443620674,10.448,44.165,562.75,15.155000000000001
1778181346844539361,10.452,45.1,78.975,15.837500000000002
1778181347145172631,10.42,44.4825,241.0,16.4325
1778181347546528008,10.404,44.4675,735.45,16.974999999999998
1778181347947200021,10.38,45.05,606.0,16.974999999999998
1778181348347546502,10.348,46.465,210.95,17.4825
1778181348648278517,12.128,1.9475,643.75,17.9725
1778181349049089431,12.196,1.715,326.15,18.025000000000002
1778181349349590502,12.224,1.75,995.325,17.7975
1778181349750789435,12.24,1.75,1399.075,17.7975
1778181350051820021,12.252,1.7,992.825,17.5
1778181350452948040,12.264,1.73,1391.45,17.2375
1778181350853775936,12.272,1.7,969.55,17.08
1778181351154319457,12.284,1.85,1320.425,17.08
1778181351555558737,12.288,1.73,752.8,16.9225
1778181351956124731,12.296,1.715,658.95,16.6775
1778181352357297604,12.304,1.8,372.55,16.6775
1778181352658063734,12.304,1.8,1136.925,16.3625
1778181353059544627,12.308,1.8,192.8,15.995000000000001
1778181353460644654,12.312,1.7,588.375,15.995000000000001
1778181353861649613,12.316,1.68,157.175,15.855
1778181354162017283,12.324,1.73,479.65,15.8725
1778181354362600188,12.324,1.75,1463.775,15.8725
1778181354662872008,12.332,1.7,1190.275,15.819999999999999
1778181354863601470,12.332,1.8,355.625,15.680000000000001
1778181355164323766,12.336,1.715,1085.275,15.680000000000001
1778181355565559849,12.344,1.7,35.175,15.592500000000001
1778181355866452197,12.344,2.0325,107.325,15.4175
1778181356067070768,12.348,1.715,327.525,15.4175
1778181356869679491,12.348,1.75,1411.9,15.260000000000002
1778181357170514280,11.372,24.265,1031.975,15.032499999999999
1778181357571729612,11.172,29.0825,1510.925,14.8925
1778181357972591412,11.116,29.9325,1334.175,14.8925
1778181358273557918,11.092,29.9975,794.775,15.137500000000001
1778181358674817424,11.124,28.9325,787.05,15.400000000000002
1778181359075734077,12.188,2.285,763.475,15.400000000000002
1778181359476038759,12.256,1.765,691.525,15.6275
1778181359676583052,12.276,1.7,471.95,15.4175
1778181359977528548,12.284,1.665,1440.275,15.4175
1778181360378809084,12.292,2.285,1118.55,15.155000000000001
1778181360779121642,12.304,1.75,136.725,14.8925
1778181361079880327,12.312,1.6325,417.25,14.8925
1778181361480891477,12.328,1.7,1273.325,14.682500000000001
1778181361881918828,12.328,1.75,609.075,14.682500000000001
1778181362182618592,12.332,1.65,220.325,14.4375
1778181362483401353,12.332,1.73,672.375,14.245000000000001
1778181362683712809,12.34,2.3475,413.525,14.245000000000001
1778181362984396303,12.336,1.73,1261.975,14.069999999999999
1778181363385503154,12.408,1.78,574.425,14.069999999999999
1778181363686118859,12.348,1.765,114.6,13.9825
1778181364087175305,12.348,1.865,349.725,13.755
1778181364488093740,12.348,1.9675,1067.275,13.755
1778181364888692576,12.344,1.9975,1618.65,13.5275
1778181365189452444,12.352,1.9975,24.525,13.5275
1778181365389928658,12.296,3.13,74.825,13.335
1778181365791460968,12.312,2.665,228.325,13.335
1778181366192439316,12.32,2.565,696.775,13.1075
